1.txt
-,1,-,2,-,3,-,4,-
1,0.47880130521413705,1.0,0.6324034845059547,0.9773569534432592,0.6369991687429494,0.9348590539354866,-0.09835116047849685,-0.8928622442107925
2,-0.15276802981911797,0.9773569534432592,-0.20573329127014503,1.0,-0.117381097739595,0.9570513553009189,-0.2658093243477249,-0.8263324502262784
3,-0.6793781163695781,0.9348590539354866,-0.5837446432300204,0.9570513553009189,-0.7395114758633302,1.0,0.6594952129328366,-0.7769816974879409
4,-0.9003296822792944,-0.8928622442107924,-0.9568856788703637,-0.8263324502262784,-0.9853870177055486,-0.7769816974879409,0.7194952165149181,1.0
36.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.36336209180081847,0.9999999999999998,-0.2750576504064907,0.976851486411892,-0.4341567268764397,0.9643484990113788,0.4987782728471365,-0.9177445296699084
2,0.4594552527977326,0.9768514864118919,0.4889479766098119,1.0,0.606673717604403,0.9830864502067661,-0.5955954095445984,-0.8465842529974051
3,-0.768671001917762,0.9643484990113788,-0.7173865120330214,0.9830864502067662,-0.8198370309191333,0.9999999999999998,0.7387968247428639,-0.8554488975216652
4,-0.8376082661096564,-0.9177445296699084,-0.7796690780727507,-0.8465842529974053,-0.7366095284447186,-0.8554488975216653,0.9414523517616062,1.0
37.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.8159505610196155,1.0,-0.6900850965957759,0.9566451358490115,-0.6474154967227965,0.6824625814339573,0.9933874240434378,-0.8695446160714655
2,-0.12207909058798926,0.9566451358490116,-0.28255125792420965,1.0,0.5329011517231564,0.5119506933061407,-0.22555456846080027,-0.7429834813566053
3,-0.8980786151485065,0.6824625814339573,-0.7420877370821669,0.5119506933061406,-0.8668283945955969,1.0,0.9504684478255073,-0.7039476695867868
4,-0.8452940134290153,-0.8695446160714655,-0.9080823009380695,-0.7429834813566052,-0.24721520024667232,-0.7039476695867868,0.7585237840575305,1.0
38.txt
-,1,-,2,-,3,-,4,-
Object,YY,XX,YY,XX,YY,XX,YY,XX
1,-0.7915309506738111,1.0,-0.7768929762021483,0.9965433335583955,-0.7133219701205817,0.8812503285343813,-0.05894256367563492,0.46322562351680935
2,-0.2762919150641725,0.9965433335583955,-0.3417382193427836,0.9999999999999998,0.0872819265710516,0.8542464520070806,-0.3799491796750127,0.49136680137636596
